,total_reward,targets_hit
0,83464.50394749212,3
1,181916.24196092034,4
2,122939.96936855937,3
3,80717.9531751551,4
4,207355.76285755925,4
5,237935.8758959124,4
6,28300.87976155716,2
7,386538.8793804761,6
8,86801.41175363466,3
9,211155.2296620039,4
10,150771.61363926472,4
11,116352.64005370607,3
12,156856.51350761758,4
13,325844.71889837284,5
14,200063.4848902635,5
15,324465.28377230687,5
16,399100.52077762614,6
17,31589.601476357682,2
18,-9921.562862263465,2
19,117445.56020423779,3
20,198636.5257361068,4
21,248941.10201939938,5
22,272799.73311659007,5
23,13387.456584705742,2
24,208467.885128631,4
25,183749.69423848306,4
26,201672.6212165184,4
27,426107.34459504485,7
28,142639.0316765086,4
29,144656.36381173815,4
30,304101.1681212079,5
31,219995.5944389066,4
32,11546.695647395021,2
33,386600.4940579253,6
34,155827.22822639783,4
35,164172.2086553402,4
36,11957.363283082506,2
37,212375.06608250595,4
38,145536.19436832558,4
39,167030.86326194686,4
40,191697.84264023084,4
41,136060.24647858646,4
42,202591.43521599387,4
43,108700.71687527059,3
44,166117.51759240511,4
45,222621.45941277232,5
46,270023.4694005059,5
47,266038.7787572332,5
48,400497.31846737035,6
49,142741.53764545123,4
50,171116.68716031607,4
51,162291.91205497825,5
52,252117.4709732994,5
53,144128.9989807126,4
54,150435.58540238492,4
55,183092.81122873025,4
56,133101.7541975958,4
57,306987.50029791886,5
58,282769.25682573026,5
59,94252.13372854426,4
60,100425.68822532536,3
61,122342.05546474823,4
62,82643.95258426365,3
63,225102.67745262294,4
64,280225.77070795343,5
65,146312.38983907073,4
66,162675.6686595692,4
67,269450.77614550135,5
68,208368.386528555,4
69,283895.6951285454,5
70,202021.81975983497,4
71,267461.8120178931,5
72,30109.770699042652,2
73,185572.98833831516,5
74,195605.2889994338,4
75,231968.37541692393,4
76,307906.43313882715,6
77,135149.26916752488,4
78,146925.07489849985,4
79,162325.66432373296,4
80,103904.6436010469,4
81,111246.78243570215,3
82,158081.59832583758,4
83,187740.9967690058,4
84,103076.30817244179,3
85,217390.4070545847,5
86,208351.29417691779,4
87,101893.83381053893,4
88,167107.31797055682,5
89,45099.94282821148,3
90,157662.30707565523,4
91,110851.86215051188,3
92,232131.95111941028,5
93,197658.20218078527,4
94,439793.1395500007,8
95,333673.10873855115,5
96,107318.48088771649,4
97,143683.94070575398,4
98,184142.8974738045,4
99,250608.50158152592,5
100,141772.21759598012,4
101,211094.11758402892,4
102,251959.1525489273,5
103,203169.68330278326,4
104,221803.2794744022,4
105,239298.60596669535,5
106,322548.6281092431,5
107,206020.0605884865,4
108,312684.93538298504,5
109,321040.2790337115,5
110,298561.8433593914,5
111,146536.41507738782,4
112,166946.83425054222,5
113,236577.237323809,5
114,237514.5816583137,4
115,39008.2822409448,2
116,132027.25964413938,4
117,224453.64428591338,5
118,312912.96904536843,5
119,38149.26612508792,2
120,267917.25052718725,5
121,121064.97979620568,3
122,5162.640844057855,2
123,206888.49713122094,4
124,251200.92046404036,5
125,226811.33491426648,4
126,330517.15789815073,5
127,318668.7735154157,5
128,171996.889346503,4
129,376135.5125789657,5
130,142521.9404280867,4
131,224388.185373466,4
132,219230.82782874108,5
133,282150.58433177357,6
134,146763.27314334962,5
135,172118.45256913354,4
136,192773.03791909572,5
137,273149.99984748894,5
138,230584.7418451787,5
139,208230.67810584907,5
140,252150.18611457676,4
141,123441.04987726206,3
142,135732.73070925454,4
143,202980.89803979313,4
144,175736.5819267197,4
145,226785.74482590676,5
146,241355.90600616144,5
147,134429.095613318,4
148,158255.82434956494,4
149,69293.16875833547,3
150,343496.3044094047,6
151,451558.9545095019,5
152,232631.2705293891,5
153,317396.9906478864,5
154,485630.8688568624,6
155,156988.08550568437,4
156,189365.35525123577,5
157,231996.69096446107,5
158,126624.24886412427,4
159,433157.99241556786,5
160,233414.93776833738,5
161,104611.93266356032,3
162,148031.5178717729,4
163,244876.5794210594,4
164,554492.1256541134,6
165,264566.65563120536,5
166,12354.121882375965,2
167,137219.2260909144,4
168,95890.12708945727,3
169,342935.2658241275,5
170,240753.9576765357,4
171,344563.6283641902,5
172,251440.50967835626,4
173,229459.07539178635,4
174,312428.6099780503,5
175,238598.85018469367,4
176,325131.85391626344,5
177,143647.7915298367,4
178,424566.3344574298,6
179,355612.2699125047,5
180,354607.8665785951,6
181,131626.1441861982,3
182,59847.65612904435,3
183,328605.2208342691,6
184,321985.60054874746,5
185,429482.7083513604,6
186,217971.1512692128,5
187,491446.24878633645,6
188,94520.29266072964,3
189,131649.59302808536,4
190,389337.9919101936,5
191,251774.44264612574,4
192,415965.99321962957,6
193,176704.89404276758,5
194,271785.97231183597,5
195,318923.9880139935,5
196,85788.32810364266,3
197,303267.1383940349,5
198,116122.19990131455,4
199,212009.49834786565,5
200,121457.78665158607,3
201,257898.59712343762,4
202,245555.4370034518,4
203,360494.0979135207,5
204,159276.92021397644,4
205,199286.07717199583,4
206,242756.22901272617,4
207,126395.5054603492,3
208,268694.8416392431,5
209,255634.51339916303,5
210,144930.62120312388,4
211,395070.1255530274,6
212,353708.7735137607,6
213,255532.58957656234,6
214,308707.2188611388,5
215,437728.6456433806,6
216,328072.0680165238,5
217,208694.0827342947,5
218,400492.40952534985,6
219,58017.37458466788,3
220,232291.9851717272,4
221,296116.121826659,5
222,300658.01879748143,5
223,221224.1383956115,4
224,305083.9994112728,5
225,319026.22854751785,5
226,139598.60195163023,4
227,218141.62669396988,4
228,352411.7105412743,6
229,457405.8476146686,6
230,320694.020263431,5
231,401736.35674117494,6
232,244102.04909902715,5
233,362520.48846946826,6
234,158836.1301857232,4
235,96795.65464104175,4
236,248976.63080847397,5
237,286399.92015169404,5
238,229240.62229331292,4
239,246785.75810521605,4
240,277272.12277904287,5
241,246598.7911881271,5
242,232782.0772139508,4
243,124844.47843581297,3
244,276916.30455109314,5
245,237146.41920412786,5
246,350370.63728846045,5
247,237859.10649123983,4
248,409900.58289789583,6
249,294112.5740491121,5
250,228879.27745660557,4
251,100959.23331328068,3
252,332260.0678671994,5
253,308068.0318102514,5
254,413081.36459264933,6
255,104358.24782811398,3
256,443491.82181760215,6
257,211991.34113060927,4
258,326650.5783534188,6
259,218074.26868421363,4
260,483375.28451548284,6
261,401477.7471905736,5
262,313008.66479205113,6
263,262253.99062022264,5
264,288780.9388740314,5
265,337320.88363623153,5
266,210823.62384443035,4
267,232474.0720709209,4
268,200114.09762229217,4
269,420172.9045338542,5
270,129086.55201190841,3
271,350771.5441334366,6
272,220976.0249497696,4
273,406802.970067214,6
274,243163.9325807735,4
275,237875.0490673394,4
276,282144.56912383187,5
277,230474.90646915857,4
278,256046.566262073,4
279,308996.04238562624,5
280,312676.1162876222,5
281,453783.2787355336,6
282,230795.3515013571,4
283,258015.35267654734,4
284,233104.81945428107,5
285,410791.8784420776,6
286,246098.11230051337,4
287,440271.8295138699,6
288,418123.9145246675,6
289,282767.25597283104,5
290,345556.83562261384,6
291,266630.8811248613,4
292,294203.63410891505,5
293,137711.69607063488,4
294,262853.61068278376,5
295,462541.04846509104,6
296,-44929.83928450962,2
297,263747.14336900105,5
298,348373.15267793933,5
299,406277.98521703633,6
300,87936.1678542128,3
301,179220.79679855268,4
302,513841.66681407974,6
303,355181.9521169262,5
304,209825.04666059473,5
305,104664.17895058388,4
306,239574.31263091293,4
307,315395.28196856455,5
308,116204.3904970088,3
309,319208.42090309167,5
310,532803.0476961529,8
311,154517.29117359736,4
312,167562.40105598443,4
313,415612.0233084601,6
314,190397.50016932545,4
315,372610.6436929658,5
316,349566.58743422903,5
317,187622.29586137267,4
318,108751.83241222848,3
319,357312.37106346095,6
320,210452.53007057024,4
321,291417.2555446156,5
322,506853.9012250663,6
323,91826.86594992928,3
324,186138.83938064106,5
325,224283.54805472394,4
326,496336.44727964175,6
327,251879.50575102124,5
328,325411.50431866874,5
329,207625.11917023524,4
330,222932.18385482492,4
331,261777.50303831336,5
332,351461.7062147019,6
333,539315.5202755692,7
334,680439.6257689532,7
335,28281.994992111286,2
336,505319.6940382354,6
337,454033.9506691891,6
338,346672.8740978915,5
339,125790.22829966783,3
340,340792.63293638034,5
341,250020.38259803609,4
342,304752.52561240544,5
343,395933.7851778065,6
344,449866.5701950612,6
345,226667.17414217448,5
346,280908.7662128201,5
347,240955.57275273706,4
348,161238.64924472052,4
349,252239.99695660677,4
350,258676.38937255723,5
351,203398.53679948128,4
352,389177.23030266224,6
353,281443.17306308355,5
354,166795.58484560417,4
355,301765.18191770633,5
356,219012.71490757022,4
357,212781.0719999972,4
358,212937.77908151288,4
359,217690.84127925002,4
360,194705.71459103032,5
361,126120.09475334664,4
362,152633.8117411394,4
363,251220.58185967055,4
364,432289.6989993458,6
365,217482.51679382956,4
366,297920.20550697076,5
367,243775.48933392653,5
368,261841.08332547004,5
369,119470.24232852105,3
370,216719.1085912866,5
371,316878.15291258134,5
372,434851.1360373767,5
373,338190.2046836788,6
374,278464.02832226653,5
375,282199.74196672486,5
376,371951.62143358635,5
377,239387.65669937647,5
378,170943.8948946739,5
379,342652.9554261114,5
380,293843.4618939247,6
381,60557.13315403681,3
382,281160.94174098485,5
383,95484.90380087856,3
384,271614.5811440702,5
385,390087.2630545798,6
386,315746.72434679285,6
387,207855.71707731226,4
388,181952.57554759693,4
389,279121.0568381562,5
390,250794.85824036965,5
391,420525.97560070216,5
392,430813.8988248524,6
393,213290.51995513053,5
394,471927.9939619742,6
395,298326.3372377984,5
396,460747.0690102507,6
397,466532.7679546999,6
398,12092.733344964156,2
399,208400.38258020906,4
400,236715.26203857892,4
401,238291.45361344577,5
402,140171.14896660097,4
403,242525.92741621172,4
404,159522.80181787815,4
405,443096.8851668749,6
406,394214.460823636,6
407,60057.286034354634,3
408,534685.2628702364,6
409,305086.5278971132,5
410,264717.48258277716,5
411,220564.97622803028,4
412,442036.196624969,6
413,275324.87658251345,5
414,234732.13974677055,4
415,396242.60227464995,6
416,372005.3192815666,5
417,218941.17879247907,4
418,158700.8709795008,4
419,303247.6074960236,5
420,261070.61774496612,5
421,231664.26561034142,4
422,464280.0537424203,6
423,375262.4775586759,5
424,228164.99182054782,4
425,269568.1458954476,5
426,233483.56744477747,5
427,253099.61571310373,4
428,199479.42042236924,4
429,344782.3412163171,5
430,290007.07773701777,5
431,368452.9890967039,6
432,107621.31251361826,3
433,395539.6765231035,6
434,504864.45916034986,7
435,38850.320992200956,2
436,145835.5787818648,4
437,414565.30415759946,6
438,238764.3763345919,4
439,261304.90153526998,5
440,244533.48448823582,5
441,243050.6131842592,4
442,230260.78624433436,4
443,94948.56523057795,3
444,385230.38140752865,6
445,274124.3710189879,5
446,395796.4264516092,5
447,216543.7757601484,4
448,494808.2500742066,6
449,488364.88747228443,6
450,441896.1237960942,5
451,407729.9813130316,6
452,325354.6366310209,6
453,374511.1814176372,5
454,224031.50226375315,4
455,452450.0938421674,6
456,188254.5571905267,4
457,379283.7181277956,5
458,230182.83821523754,4
459,304236.23925476114,6
460,232948.62336128476,4
461,321339.9102158124,5
462,466787.14427317603,6
463,332322.7146358896,5
464,265536.90432062757,5
465,286295.9393800458,5
466,290136.727404815,5
467,260214.21486227206,5
468,503193.5833475331,6
469,555867.5951550821,6
470,403652.8864483267,6
471,451281.034012446,6
472,245910.20265057014,5
473,400716.9054943686,5
474,219001.465375652,5
475,241182.33049549692,4
476,318554.2216362647,6
477,326354.0185559407,5
478,436617.8286704967,6
479,278582.7795017505,5
480,515997.21864658454,6
481,230155.03517283246,4
482,366292.4379711463,6
483,388852.30937578616,5
484,176669.9756035201,5
485,372741.273824736,5
486,235521.63705163638,4
487,196148.53023057204,5
488,458262.71760648035,6
489,146183.27710000848,4
490,293096.6710702119,5
491,528955.4762558173,6
492,301844.9579159899,5
493,105306.34461935895,3
494,232388.80717829394,4
495,312158.37213792326,6
496,256156.0723229564,4
497,257420.00414013665,4
498,383105.58215470985,5
499,224844.50548237405,4
500,123161.10270838365,3
501,351872.5966608194,6
502,434555.34816246276,6
503,401460.66596635245,5
504,234184.47240259201,4
505,403297.4514254295,6
506,263924.180960675,5
507,412706.8134680182,6
508,389003.015459299,6
509,244997.69494382048,4
510,208245.49201786338,4
511,366226.1962674113,6
512,375107.47350187314,6
513,283963.81510887604,5
514,409226.3225520293,5
515,79223.2852670505,3
516,470785.78773969156,6
517,160896.92346893126,4
518,365964.2269903184,5
519,644875.0209455037,8
520,392652.8194727533,5
521,368194.429496642,6
522,232832.61548251263,4
523,461413.39057290694,6
524,422390.7758744309,6
525,95387.16429580416,4
526,335459.6958748015,6
527,416610.5590880574,5
528,422880.6565865037,5
529,311283.7370504323,5
530,252283.45971293745,4
531,397226.34394265304,5
532,222143.67790806945,4
533,248488.95505339,4
534,545102.8390790279,6
535,201032.11287958216,4
536,299996.7296959587,6
537,126648.79569134716,3
538,223760.28941877224,4
539,359556.4099804966,6
540,614754.1606121596,6
541,195275.89514596586,5
542,205025.93727284673,4
543,223856.89780337448,4
544,415787.21921352466,6
545,367046.74948129326,6
546,435014.73410875566,6
547,373877.9509484123,5
548,292060.3868406266,5
549,279725.9508454495,5
550,532405.0693785371,6
551,265952.5567254571,5
552,366971.02255582984,6
553,288458.4288621227,5
554,251587.21042503952,4
555,606309.1984583366,7
556,281054.53843904886,6
557,251986.94082920102,4
558,127450.94780065115,3
559,427814.5434939284,6
560,343325.30623811926,6
561,237525.23684635336,4
562,378512.8233613033,5
563,418854.62781546824,6
564,245037.99974025966,4
565,225393.76301406033,5
566,249409.7428819863,4
