,total_reward,targets_hit
0,91618.99758000816,3
1,18420.17996636579,2
2,2728.510532196983,2
3,277769.3985345858,5
4,20452.369567567457,2
5,101636.08354893967,4
6,190391.38086488078,4
7,-2889.6216479266714,1
8,184450.82270305065,4
9,150954.18706598444,4
10,90420.25926791286,4
11,73651.39083309668,4
12,182569.73777347838,5
13,207110.8989536962,5
14,163343.26588442753,4
15,142921.17978785385,4
16,223341.00572396035,4
17,142766.49794690826,4
18,78385.79607641249,3
19,190672.7861968128,5
20,215052.40303555498,5
21,192395.44398948122,4
22,170738.27412134147,4
23,158095.33589522343,4
24,91697.83416348055,4
25,108291.61376530466,4
26,95485.73075993014,4
27,31293.49727668699,2
28,130284.64844181424,4
29,4445.2678624100445,2
30,-10003.797202898222,2
31,249507.7711682949,5
32,69942.64307237475,3
33,78789.72687858886,3
34,30944.022358895854,2
35,136573.71888669662,4
36,175937.65169359712,4
37,105782.15427267889,4
38,116823.49185256998,3
39,293539.57864120696,5
40,198268.81600083088,4
41,203066.94878117516,4
42,151331.40597612894,4
43,12283.92488867837,2
44,231976.07426306233,4
45,213935.1227086391,4
46,172192.46937799396,4
47,137851.65627832964,4
48,121389.61467333496,4
49,147567.85825367185,5
50,160199.19694915792,4
51,150485.39887470787,4
52,148889.8356451291,4
53,126745.65004971958,4
54,107209.02561578498,3
55,211444.5788300164,4
56,260347.3340293668,5
57,-18909.85964634603,1
58,309475.2214325893,5
59,208338.55195539622,4
60,249451.47769207257,5
61,107382.66806877052,3
62,163370.46222888812,4
63,358120.93296130525,6
64,182771.26025774187,5
65,67804.3805563009,3
66,100097.44687349457,4
67,36441.63389750512,2
68,118495.89203065037,3
69,73529.38517310329,3
70,254691.74023193886,5
71,61472.14918738493,3
72,67055.57574428745,3
73,361330.2636111641,6
74,185976.9726477586,4
75,158289.55627480504,4
76,171531.98976696134,4
77,190445.70520829994,5
78,39579.68750765271,2
79,114991.17318549492,3
80,281423.6585498488,6
81,17368.73760606261,2
82,158551.73387631308,4
83,42312.40062339049,3
84,241705.1793879346,5
85,165714.57122693324,4
86,119123.82426060514,3
87,143123.1481021437,4
88,137044.83968809803,4
89,113481.98775088819,4
90,109772.75476193048,3
91,37668.932816542,2
92,108850.4971766995,3
93,262376.65599470155,5
94,182952.14248597706,5
95,130460.98541449288,4
96,96015.22273027188,4
97,187475.93118678202,5
98,54812.93508614031,3
99,30762.610620939686,2
100,320037.49601537955,5
101,218247.94315552947,4
102,134091.38197763392,5
103,167099.65005744944,4
104,81222.48106383003,3
105,101771.65889248482,3
106,72175.95179883139,3
107,209619.5124943456,4
108,224831.6628027333,4
109,-37882.16681801151,2
110,255479.28623336993,5
111,129581.56521858516,4
112,159613.04794382447,4
113,386842.2864299647,6
114,23619.376121259374,2
115,112512.32772871776,3
116,76109.27642254981,3
117,148624.22526217438,4
118,431709.25172837655,6
119,70806.97312265253,4
120,154922.53121040983,5
121,40678.612757359006,3
122,347782.56541173975,6
123,32817.35829702562,2
124,235867.74948719106,5
125,48266.671432761184,3
126,211646.30842597503,5
127,271635.8038452767,5
128,107265.30591287737,4
129,283048.1039225842,6
130,167397.8743900597,4
131,260657.48487858265,5
132,10918.501235535205,2
133,250256.5718556702,5
134,318576.3049695098,5
135,122229.571541102,3
136,40049.573145435796,2
137,126182.24264093323,4
138,270127.9753991289,5
139,188791.52929148724,5
140,223847.48771565282,5
141,212937.76531120876,4
142,494051.52593433094,6
143,211180.12833325588,4
144,202963.5405024828,5
145,193104.02675208953,5
146,172725.03349457475,4
147,221466.447618425,5
148,152373.94170576584,4
149,165122.64214993015,4
150,163391.8884719898,4
151,186331.31633540516,4
152,32965.48204410521,2
153,55513.72095515549,3
154,63568.626948514386,3
155,163697.55231378443,5
156,256750.19316201523,5
157,139002.3138822831,4
