,total_reward,targets_hit
0,45484.155800576555,3
1,90407.56754441514,4
2,133220.8845667773,4
3,198101.11768945865,4
4,111348.2215188107,3
5,147579.0318411446,4
6,195477.8258231196,5
7,145953.9626013661,4
8,138206.96110350886,4
9,182530.1538417118,4
10,137825.32901615274,4
11,110769.35235889447,3
12,51372.10286249016,3
13,180974.28632316555,4
14,119378.5487947257,3
15,207304.8311253909,4
16,142742.08300196414,4
17,120084.44543115534,3
18,185515.42614253447,4
19,137271.88561514817,4
20,166025.0335013611,4
21,26143.543868604982,2
22,212335.43305920705,4
23,235058.54023134068,4
24,248001.11606203165,5
25,177648.82548306492,4
26,110521.69713480378,4
27,206976.18294223316,4
28,310758.95592645457,5
29,71805.00912343184,3
30,98277.74826444317,4
31,223105.89240020013,4
32,187999.6764539008,4
33,249190.83715207418,5
34,180702.48097977377,4
35,197394.45176543796,4
36,198990.6502566256,4
37,108738.40741744556,4
38,97959.23649571853,3
39,453361.1295079937,6
40,280146.83085803734,5
41,144591.39449118308,4
42,429287.8062778469,6
43,177067.25861431452,4
44,109372.73885219402,3
45,168050.2543495513,4
46,202653.11322145181,4
47,314132.2515031429,5
48,143250.2131010784,4
49,270665.6974926332,5
50,212454.3820214402,4
51,71685.89978843702,3
52,341320.28937024035,6
53,171429.6410882402,4
54,151716.4598792855,4
55,164145.44685803924,4
56,290807.6241261235,5
57,135663.3531958863,4
58,315899.2791536614,5
59,195619.18389163513,4
60,244937.86387475056,5
61,483748.92119738663,7
62,121711.38373952513,3
63,302465.1681685351,5
64,54508.85332201723,3
65,203523.934854767,4
66,162829.8816451301,4
67,288166.938518999,5
68,51044.34266183925,3
69,113053.96735356869,3
70,191559.8636216058,4
71,348868.70425078087,5
72,239042.46972044735,4
73,221026.8157265901,4
74,204426.05576527724,4
75,288759.9175122879,5
76,170092.4116169961,4
77,295916.0415958944,5
78,167757.95788656664,4
79,301790.06049237715,5
80,410929.2574029443,6
81,104564.25331470277,3
82,127308.90664805076,3
83,300757.1084262089,5
84,36034.93433173397,2
85,221637.56572685932,4
86,149956.23299380863,4
87,270160.6657725768,5
88,274939.1150720187,5
89,149024.17406861222,4
90,421914.9940586183,5
91,117655.37268121648,4
92,298667.50296678796,5
93,266018.213474805,4
94,247427.9891811121,4
95,303699.6323451487,5
