,total_reward,targets_hit
0,-5593.835691,2
1,44617.36926,3
2,105540.3005,3
3,105352.7759,4
4,19388.7683,2
5,159322.9231,4
6,210882.9445,5
7,214141.3821,4
8,164130.2642,4
9,119413.1841,4
10,16778.41725,2
11,67561.11883,3
12,163146.1448,4
13,133054.5444,4
14,24479.87082,2
15,52829.38246,3
16,229486.5651,5
17,187077.171,4
18,43079.40113,3
19,241829.9111,5
20,126472.4096,4
21,197856.8188,4
22,203718.034,4
23,174685.9232,4
24,337563.1761,6
25,32855.53263,2
26,195706.7538,4
27,424139.4229,6
28,247023.3728,5
29,157567.7514,4
30,21030.08895,2
31,250895.1712,5
32,231951.7006,4
33,74900.89076,3
34,191788.4982,4
35,85999.42114,3
36,73617.85037,3
37,208585.7194,4
38,251938.8041,5
39,415909.8814,6
40,95136.46406,3
41,151275.7516,4
42,175848.0358,4
43,191514.968,4
44,80426.53404,3
45,230729.0222,4
46,294640.4149,5
47,240818.2883,5
48,302303.4932,5
49,377990.4824,6
50,147196.1434,4
51,276637.4091,6
52,16536.56609,2
53,68522.04674,3
54,108085.7747,3
55,213916.0464,4
56,232823.0947,4
57,151951.8776,4
58,111813.479,3
59,355171.6558,5
60,330168.4298,5
61,338202.7866,6
62,153575.9974,4
63,369235.342,6
64,161528.2622,4
65,238260.2121,5
66,19534.34283,2
67,244566.1462,5
68,297037.2951,5
69,189286.4758,4
70,121790.9113,4
71,281797.436,5
72,232493.5782,4
73,204255.5392,4
74,229297.9066,4
75,66543.88811,3
76,336000.9242,5
77,209436.7701,4
78,51345.07389,3
79,181336.9206,4
80,191687.8865,4
81,99546.39925,3
82,228427.1324,4
83,123849.0953,4
84,359004.4384,6
85,153645.4079,4
86,163232.7802,4
87,166396.392,4
88,190674.8666,5
89,190218.339,4
90,250565.4986,5
91,167090.2527,4
92,206914.2677,4
93,110351.6902,4
94,115063.6579,3
95,124695.0176,3
96,120422.6968,3
97,147270.9165,4
98,216420.2754,4
99,446890.1097,6
100,151975.1085,4
101,223763.3797,4
102,24444.53611,2
103,286906.4451,6
104,191896.9993,4
105,193089.163,4
106,110873.2683,3
107,102983.0251,3
108,78955.01136,3
109,286182.2872,6
110,113094.9134,3
111,157146.7978,4
112,181625.6035,4
113,184319.2822,5
114,232978.5951,4
115,306312.3248,5
116,158960.8285,4
117,239800.8692,4
118,198916.5084,4
119,294118.8504,5
120,222790.7112,4
121,261289.8502,5
122,192413.5396,4
123,384309.2825,6
124,101963.694,3
125,291422.9241,5
126,14161.68323,2
127,324179.3669,5
128,126532.6543,4
129,237071.6871,5
130,321759.0488,6
131,222768.296,4
132,192899.5201,5
133,164623.4139,4
134,222158.3503,5
135,153628.3256,4
136,99159.76395,3
137,183125.348,5
138,110850.3672,4
139,50328.08647,3
140,145697.6185,4
141,130536.7121,4
142,152686.8047,5
143,99739.96898,4
144,165331.3833,4
145,140881.6503,4
146,217011.5027,5
147,179025.8078,4
148,186174.8684,5
149,86765.96248,3
150,117100.9754,3
151,182608.6222,4
152,217982.0316,5
153,262730.7649,5
154,163431.0043,4
155,39016.34377,2
156,178396.2083,4
157,337591.4824,5
158,53774.88783,3
159,166787.9116,4
160,300701.5026,5
161,262565.1219,5
162,275865.6752,6
163,244575.6156,6
164,205778.5308,4
165,212619.9345,4
166,75817.36439,4
167,230616.2195,5
168,190291.2189,4
169,191579.4514,4
170,291184.6133,5
171,188702.1224,4
172,179694.349,4
173,272348.6621,5
174,28819.71205,2
175,204703.2517,4
176,121982.5118,4
177,389161.1497,6
178,315548.0142,5
179,175109.8719,4
180,277089.3055,5
181,242280.155,5
182,374630.0624,6
183,351248.3293,5
184,165359.5008,4
185,323933.5139,5
186,186283.5981,5
187,277102.4233,5
188,196943.5659,5
189,205291.073,5
190,208930.6638,4
191,187489.7693,4
192,261875.2245,5
193,152881.3799,4
194,213890.9545,4
195,128581.7357,4
196,216439.7165,4
197,413406.7814,6
198,92251.78216,3
199,201437.7706,4
200,254164.7911,5
201,441848.2912,6
202,252114.8804,5
203,211389.4909,5
204,219528.9423,4
205,249713.3399,5
206,266134.8189,5
207,266398.5816,5
208,133831.4158,4
209,268900.2624,5
210,115504.6608,3
211,173387.9223,5
212,125069.507,4
213,232279.869,5
214,348739.5218,6
215,176723.2718,4
216,395592.0086,6
217,266307.0299,6
218,225266.0661,4
219,327726.4519,5
220,223688.1585,4
221,209889.3858,5
222,241983.3565,5
223,295982.5433,6
224,69995.17029,3
225,265926.6234,5
226,191295.7255,4
227,122872.5495,3
228,106898.344,3
229,194846.6884,4
230,221549.2962,4
231,180287.4348,4
232,215371.3093,4
233,193827.6657,4
234,321746.098,6
235,328580.2521,6
236,236830.4126,4
237,232688.8409,4
238,203240.334,5
239,189913.0101,4
240,20367.42002,2
241,184496.4552,4
242,311827.1709,5
243,193444.7987,4
244,283127.661,5
245,228514.9551,4
246,261545.3932,5
247,220800.8136,4
248,210916.1052,4
249,289641.1692,5
250,291527.3055,5
251,254670.3635,5
252,371320.2963,6
253,249852.9331,5
254,308817.4736,5
255,235167.4361,4
256,222331.8171,4
257,286365.2483,5
258,353696.3109,5
259,321856.6878,5
260,241520.5891,5
261,233929.6424,5
262,277766.3635,5
263,215685.337,4
264,292203.9022,5
265,278607.8615,6
266,200126.9432,4
267,224912.6694,5
268,235519.4063,4
269,400229.3777,6
270,227277.8033,4
271,215817.1871,4
272,215591.8944,4
273,181216.07,4
274,122969.7464,3
275,323355.0308,6
276,272937.6813,5
277,245818.775,5
278,318541.2592,5
279,348744.7476,6
280,122835.9998,3
281,225252.7801,4
282,241723.6727,5
283,317597.2985,5
284,218327.9005,4
285,238124.9817,4
286,357206.92,6
287,123673.3072,3
288,358494.5001,5
289,229425.3897,4
290,207862.6762,5
291,338403.4138,5
292,107132.4739,3
293,247098.7485,5
294,245841.1727,5
295,274818.3368,5
296,297362.418,6
297,256202.9959,5
298,285958.1865,5
299,202774.3268,4
300,263465.8444,5
301,321437.8874,5
302,237596.7645,4
303,291495.5262,5
304,215603.7705,4
305,207670.9059,4
306,230626.0745,4
307,339040.3927,5
308,203194.6886,4
309,271635.7663,5
310,234525.2853,5
311,303875.2849,6
312,384501.1528,6
313,307581.4954,5
314,255399.6597,4
315,223437.3676,5
316,322040.1882,5
317,23436.27377,2
318,273104.2752,5
319,260064.5413,5
320,434459.8737,6
321,254404.099,5
322,263796.5424,5
323,135902.6352,4
324,234660.8995,4
325,249703.611,5
326,399672.6263,6
327,341806.6027,5
328,419688.7789,5
329,352454.2641,5
330,266169.9553,5
331,432874.0882,6
332,314933.9284,5
333,496591.3044,6
334,233615.3982,4
335,318172.6745,5
336,319272.5096,6
337,236419.7837,5
338,381363.2671,6
339,214269.4751,5
340,224879.0893,4
341,294911.8489,5
342,461959.4562,6
343,293879.2827,5
344,28959.56384,2
345,440123.1303,6
346,257788.6765,5
347,162154.607,4
348,118168.8356,3
349,172411.3229,4
350,584583.5857,8
351,410265.9641,5
352,516866.342,7
353,246740.1637,5
354,245579.1525,5
355,110030.1946,3
356,346740.5986,5
357,277168.9507,5
358,367531.4436,5
359,314097.9763,5
360,236916.3069,5
361,264053.3975,5
362,325145.7259,5
363,404346.5703,6
364,233175.9812,4
365,271121.9309,5
366,221304.8892,5
367,337865.4684,6
368,42041.9075,3
369,259481.9166,5
370,284751.4509,5
371,250257.5194,4
372,222169.0859,4
373,172895.8913,4
374,277592.3794,5
375,217637.1066,5
376,292952.2802,5
377,214910.4244,4
378,229305.0198,4
379,389864.1781,6
380,308271.0533,5
381,338176.9955,5
382,371401.4396,6
383,396462.435,6
384,252777.9416,5
385,202111.4552,4
386,212841.3461,4
387,465642.3832,6
388,233905.2346,5
389,154601.6328,4
390,311488.2807,6
391,17479.46784,2
392,105968.3459,3
393,354083.9784,6
394,289318.5153,5
395,357556.4632,6
396,166932.4218,4
397,138221.4819,4
398,288875.9359,5
399,367415.092,6
400,154025.0604,4
401,372208.4927,6
402,94192.07753,4
403,233938.4644,4
404,303194.4514,5
405,202258.8332,4
406,351446.8978,5
407,210847.3333,5
408,278045.3286,5
409,234434.4578,4
410,328175.6364,5
411,210209.3728,4
412,327554.0862,5
413,210636.2676,5
414,193580.3821,4
415,219224.5233,4
416,199319.9733,4
417,468058.8165,6
418,552852.2165,8
419,180579.1444,4
420,334305.2595,5
421,385590.0231,6
422,355000.1461,6
423,284573.0481,5
424,367267.5823,5
425,215420.0609,4
426,351179.1399,5
427,161824.3615,4
428,229695.1907,5
429,347030.7995,5
430,383654.9447,6
431,286726.2786,5
432,427677.0876,6
433,290490.081,5
434,235207.2992,5
435,235297.6506,5
436,216352.1698,5
437,283743.9244,5
438,225738.4797,4
439,329406.5032,5
440,240663.1517,5
441,327298.7044,5
442,355948.8273,6
443,276698.5504,5
444,355434.271,5
445,125667.7664,4
446,227059.3914,4
447,407349.6459,6
448,430285.8886,6
449,113473.9789,3
450,371713.0229,6
451,309527.066,5
452,397699.9973,5
453,216521.0155,4
454,380380.7345,6
455,217497.6434,4
456,330693.6075,6
457,465979.4556,6
458,207728.5048,4
459,264893.9531,5
460,233243.0239,5
461,373364.7523,7
462,106143.0697,3
463,260556.5044,5
464,285752.6051,5
465,207242.8547,4
466,123274.069,3
467,309375.2154,5
468,366206.6532,5
469,343991.8565,5
470,390223.5014,6
471,217714.6102,5
472,299771.6503,5
473,343878.3876,6
474,457152.2398,6
