,total reward,targets hit
92,85027.0059834267,3
93,121776.0694172455,4
94,216333.2602656603,5
95,193731.25788654102,4
96,145616.60108489246,4
97,152993.62346655547,4
98,387563.3992928182,6
99,304193.7893766892,6
100,255660.21684189062,5
101,56560.59075890521,3
102,174380.0975835222,4
103,268745.32911740866,5
104,16203.874041771662,2
105,194742.06908824918,4
106,42954.573222147344,3
107,69398.08520441814,3
108,126654.25577136406,4
109,213878.3496673277,5
110,91192.48096329498,3
111,249828.61368919106,5
112,181141.35383484303,4
113,54232.42561577182,3
114,188573.7944584752,4
115,148068.33790983283,4
116,137678.81932309238,4
117,194755.43841392352,4
118,419101.7055464201,6
119,248175.09017623766,5
120,190834.8758961755,4
121,325647.50581958063,5
122,38364.15592028151,2
123,235496.2304468712,5
124,148374.10264591707,4
125,311537.78538401914,5
126,173536.70444434733,4
127,216160.9250713357,4
128,132633.7949128848,3
129,187900.54830927198,5
130,419860.5475985292,6
131,308030.28912390955,5
132,209625.91994783637,5
133,240970.4977532078,5
134,220367.39159127278,5
135,139383.07024135778,4
136,239966.47314005013,5
137,206716.04777631542,5
138,381717.72959747503,6
139,129417.31499313189,4
140,130819.65475754002,4
141,266604.1478884989,5
142,25259.445475226446,2
143,42969.049468895566,3
144,181649.43430183176,4
145,242323.43218189568,5
146,165279.25335573687,4
147,182387.93053410685,4
148,220366.4211498019,5
149,226449.62749099644,4
150,145993.01702931785,4
151,42695.33181044255,3
152,213000.15667692796,4
153,302443.63243881933,5
154,327765.36681215605,6
155,81364.81989347383,3
156,222056.7777640119,4
157,206026.92340170793,5
158,410083.9660514788,6
159,102130.20964194731,4
160,205106.5678658831,4
161,266675.2616155434,5
162,164422.65993323136,4
163,32794.35669319576,2
164,249753.98189328663,5
165,264639.1883632542,5
166,169069.94394601946,5
167,109397.39916769048,4
168,236178.99544866075,4
169,410425.86788021127,6
170,246032.04515246238,5
171,317266.12757532566,5
172,127915.51008250302,4
173,235143.73136447795,5
174,36149.721203619854,2
175,284005.89036063856,5
176,223712.96640570887,5
177,271077.1938227682,5
178,310178.3713271793,5
179,207524.85601388197,4
180,114576.82439687058,4
181,267121.01911318256,5
182,330141.1897000665,5
183,111568.76119615082,3
184,236071.51196865353,5
185,94166.77764317,3
186,104419.29152255494,3
187,279113.7647858263,5
188,217687.54955297956,5
189,203277.98582280497,4
190,288086.50237100193,5
191,184422.15674854114,4
192,317960.01316633006,5
193,286845.72071642475,5
194,305957.33268367214,5
195,210967.6014919199,4
196,241853.39703092552,4
197,445400.5082598623,6
198,108677.69266868143,3
199,223018.07579277287,5
200,160912.02473133735,5
201,192150.98735359058,4
202,205537.49686488463,5
203,236886.65224571488,5
204,30347.778797784093,2
205,64581.63284935572,3
206,41233.52567014117,2
207,223945.81795579958,4
208,217292.6822030298,4
209,214590.90557829553,5
210,195724.10700855288,5
211,167707.10635494682,4
212,158052.17657277625,4
213,407500.7535757387,6
214,221205.53114834157,4
215,329390.384972018,6
216,246779.06214131828,5
217,183694.7643872326,4
218,228431.40474886814,5
219,285243.68058275257,5
220,195396.25564619416,4
221,218484.4346097687,4
222,351018.015196728,5
223,103781.33662386754,3
224,289873.2339645999,5
225,175019.38007378537,4
226,-11599.470705917694,2
227,169707.2192495272,4
228,215044.85493952507,5
229,80834.94045568281,4
230,258242.73197591092,5
231,192870.42915559342,4
232,217986.99661248003,4
233,279003.5062539342,5
234,169736.35994725587,4
235,188537.32599076393,4
236,210727.73447640537,5
237,252191.76131384668,5
238,284521.89133496943,5
239,130584.32719566228,3
240,230443.1252594135,4
241,205981.25506846196,4
242,35771.167214517365,2
243,191007.84801510518,5
244,213190.12209619506,4
245,348530.05237031734,6
246,321145.57653161616,6
247,88817.17719461194,3
248,360048.73577793885,6
249,192790.4032916512,5
250,372230.8968485175,6
251,44724.25723264925,3
252,147740.76545317422,4
253,147709.5477998263,4
254,33377.37789583738,2
255,150687.9868731089,4
256,138041.00892224605,4
257,321453.69814096973,5
258,33689.284484200914,2
259,417540.17083511665,6
260,198482.73232222436,4
261,307782.7150220043,5
262,230207.06674733458,4
263,179633.42901976075,4
264,16032.746166652481,2
265,132335.33874083124,3
266,114844.00824130778,3
267,205623.04846763329,5
268,309079.4760683655,5
269,110209.96432917895,3
270,385664.8306701181,6
271,262359.0875826627,4
272,341445.0764072045,6
273,255969.4367614566,5
274,38802.33159324544,2
275,227454.68485658176,4
276,202755.49172250635,5
277,224166.43131515224,4
278,357212.2890555285,5
279,263915.40630105475,5
280,501513.008274718,8
281,260975.59027612532,5
282,181568.47824231506,4
283,198462.08020767945,4
284,126017.25336832517,4
285,301667.6171243016,5
286,101926.0788182234,3
287,217652.2789622904,5
288,378731.42865684646,5
289,32912.00298225625,2
290,250419.27392071777,4
291,212664.39630672155,4
292,197776.95609438192,4
293,52451.72137960117,3
294,208284.06340468628,4
295,64728.72099502235,3
296,255674.23466365496,5
297,174495.14558359867,4
298,333648.56778753025,6
