,total_reward,targets_hit
344,129298.71086327666,4
345,262802.5315162022,5
346,137417.31965766393,4
347,268776.12178277795,5
348,330743.6041261483,5
349,213933.50558059086,5
350,340608.30798156763,5
351,278100.4622244617,5
352,319652.80068865884,5
353,341397.7171190979,5
354,262117.56145090645,5
355,335668.9840346619,5
356,284561.0312242863,5
357,209500.84295216153,4
358,414049.33955743746,6
359,215060.46081112843,5
360,180975.84104450166,4
361,302254.3885762789,5
362,276918.7239714633,5
363,231794.822610549,4
364,119931.86525355619,3
365,566140.7324810589,8
366,292430.04758650553,5
367,-4594.390452341583,2
368,207092.81925620307,4
369,228099.26829306927,4
370,94323.04523571362,3
371,260144.46029982713,5
372,217050.30228483828,4
373,179941.32735330635,4
374,194403.43422978747,4
375,371007.3659574692,5
376,48464.838119277454,3
377,174224.02823979734,4
378,281296.48461243,5
379,224538.7565911405,4
380,232103.60166321014,5
381,285051.67362658517,5
382,292258.58147181524,5
383,212636.70300142036,5
384,209757.39383877645,4
385,102950.93931742315,3
386,181501.25373878406,4
387,392564.7991013871,6
388,407666.4085326489,5
389,231804.1151904479,5
390,510243.72176779225,6
391,183300.46910041667,4
392,266850.8599945053,5
393,392646.3922347619,5
394,281186.62634907506,5
395,355700.7871664462,5
396,119933.03981048524,3
397,354799.1424498371,5
398,254468.77823461383,5
399,230466.96756064857,4
400,361912.39939894,5
401,270464.9570063433,5
402,210930.6793806726,4
403,240530.81515857347,4
404,464533.4518085062,6
405,106023.18086031274,3
406,201999.65357419214,4
407,241126.0459561603,4
408,268992.2186799774,5
409,245951.95533352473,4
410,418437.88385334547,6
411,209776.82486022712,5
412,169305.18725768253,4
413,544737.0180438275,8
414,299498.85590686544,5
415,183817.76925987616,4
416,230196.5627547885,5
417,132342.29612961784,4
418,238408.0573408106,4
419,208949.832515941,4
420,138670.3539474105,4
421,121875.80352973798,3
422,338150.43296616443,5
423,262265.4607027427,5
424,251577.96506234026,5
425,247288.38951096334,5
426,237013.6120512543,5
427,168158.91090191097,4
428,294449.64925098827,5
429,245011.97437688702,5
430,219188.21967046754,5
431,310554.33913005167,5
432,25412.032625125823,2
433,191407.06969181373,4
434,377050.39340814535,5
435,237005.9453295248,4
436,177953.33550308243,4
437,327046.110164062,5
438,319096.3182578604,5
439,247288.66553620965,4
440,195799.28644852937,4
441,155126.38939937987,4
442,191601.40663465753,4
443,163046.0920079817,4
444,110674.5133789538,3
445,122991.79421669783,3
446,15341.711044858264,2
447,363696.80115918815,6
448,223824.4008049607,4
449,135132.37797641044,4
450,249069.00298817252,5
451,205819.69887690176,5
452,279558.6397340844,5
453,388874.77207568823,5
454,382775.9837834024,6
455,221613.4704474429,4
456,437358.07747577014,6
457,207775.83919437684,4
458,434477.9686651403,6
459,373900.91121388535,6
460,445196.3297668415,6
461,218505.6279453389,4
462,229879.63295501613,4
463,127313.2595454299,3
464,362218.0638861056,5
465,231558.95240616644,5
466,222728.21863546106,4
467,488255.16121517326,6
468,399843.2523509257,6
469,245130.53939163027,5
470,482100.7669727,6
471,184480.97206073665,4
472,299488.37216121133,5
473,401778.01640229044,6
474,375650.7907078611,6
475,328329.1000448203,5
476,224811.87916651205,4
477,235136.68399866403,5
478,342680.48918122175,5
479,266662.27428133826,5
480,308226.53905519797,5
481,254737.959315044,5
482,347727.17845256,5
483,233528.94984084953,4
484,194818.10568970416,4
485,471878.9168271496,6
486,209891.4033953565,4
487,474610.4933418663,6
488,235007.76843632164,5
489,374540.36179353937,6
490,438703.16396127583,6
491,359265.82926508476,5
492,316644.94628877245,5
493,226391.84472037468,5
494,208777.36004743696,4
495,255592.19190235558,6
496,518688.0973841792,6
497,251738.00960364746,4
498,235979.3950924854,4
499,241769.4526318576,4
500,256521.22576233943,5
501,324938.6804554267,5
502,365179.4201282905,6
503,52621.89874273358,3
504,270578.22966050974,5
505,190937.09242659615,4
506,284824.5458213199,5
507,494526.3737740597,7
508,233577.29261842617,5
509,242255.55920953857,4
510,324271.86681377946,5
511,385920.7439005424,5
512,349333.67735492333,5
513,343498.28298443154,6
514,320625.6025918176,5
515,245119.0212599992,4
516,206485.93843535063,4
517,437291.41224383656,6
518,127096.5495261655,3
519,350498.30301519646,6
520,48435.129255787884,3
521,363350.37002923584,5
522,252742.01300687256,4
523,226896.07670975104,4
524,234919.95044421972,4
525,374545.78738173825,5
526,125900.02328045956,3
527,267197.98743140226,5
528,262263.2959765364,5
529,230884.20651103958,4
530,215930.10023854882,4
531,309397.7233199968,5
532,269690.8584347378,5
533,274197.8424595143,5
534,277787.9181721796,5
535,417647.0097109239,6
536,157865.3123988379,4
537,298767.4476067036,5
538,419194.85847618926,6
539,131562.82252016244,3
540,433591.967643979,6
541,245725.44569945525,5
542,305028.76158515835,5
543,383748.3327728975,5
544,222130.523886087,4
545,333946.4427228953,5
546,392575.0375658802,5
547,355798.49998973985,5
548,342446.2800940321,6
549,252457.35677001817,5
550,181941.3848536798,4
551,261083.71633532914,5
552,307088.4200088402,6
553,88374.61381073156,3
554,201219.17951632896,5
555,243638.61176271673,5
556,346346.58663390845,6
557,439953.3646573917,6
558,256109.16325405208,5
559,239435.02884704148,5
560,313486.82796420815,5
561,154705.94520032962,4
562,337313.8202553546,5
563,246103.18783199316,4
564,178373.72254039254,5
565,343680.2238482626,5
566,277175.2700875656,6
567,306278.3010562896,5
568,96742.86298736326,3
569,502516.4889714916,6
570,367136.3492549473,6
571,345300.1821820748,5
572,322734.7683730255,5
573,122842.77424126802,3
574,405230.35246567975,6
575,279150.24794051674,5
576,496657.08109562815,6
577,299482.1202571808,5
578,122986.01660245689,3
579,210254.70803799736,5
580,521160.3964289218,6
581,173376.59576842457,4
582,205484.3801347694,5
583,188123.78440143578,4
584,88644.2971900788,3
585,261442.16699856974,5
586,300584.34587766055,6
587,120195.88329785911,3
588,248314.8746497252,5
589,371915.35647791525,6
590,387779.2455784494,6
591,245770.34272899898,4
592,321222.6325840743,5
593,343339.48198818497,5
594,221817.45259131567,5
595,551235.2228446009,7
596,402861.72087895806,6
597,307643.65353011386,5
598,495260.4545110401,7
599,150699.13374207338,4
600,437041.040291392,6
